Sites,Porosity,Bioclasts,Sand,Silt,Clay,TN,TOC,d13C,C/N,Carbonates,pH,Eh,PLI
102,0.42,0.042,85.48,5.85,8.63,0.025,0.222,-24.939,8.963348141,5.881,7.78,-38.6,0.55
104,0.54,0.067,33.57,45.14,21.22,0.05,0.392,-24.43,7.797528769,3.243,7.43,-24.1,0.85
106,0.62,0.691,10.7,57.82,30.78,0.065,0.368,-23.244,5.646318319,2.809,7.46,-125.3,1.04
108,0.69,0,1.65,56.74,41.61,0.083,0.606,-23.599,7.295553297,2.408,7.42,-180.2,0.96
202,0.45,2.11,73.81,11.54,12.54,0.027,0.193,-25.307,7.192544989,3.986,7.52,40.9,0
204,0.58,1.373,20.53,51.56,26.54,0.054,0.418,-23.824,7.721339788,4.065,6.95,-250,0
206,0.59,0.183,6.29,49.38,44.15,0.05,0.331,-23.58,6.645708958,2.916,7.17,-98.6,0.92
208,0.67,0,0.88,50.11,49.01,0.092,0.658,-23.476,7.176106138,,7.03,-140.2,1.02
302,0.44,0,80.16,14.89,4.95,0.013,0.111,-24.259,8.568865918,3.104,7.57,23.3,0.58
304,0.42,1.266,48.76,37.9,12.08,0.024,0.208,-24.065,8.512587217,4.09,7.35,-114.8,0.74
306,0.62,0.645,5.65,58.25,35.46,0.073,0.61,-21.223,8.374975601,3.661,6.97,-146.2,0.89
308,0.75,0,0.79,48.72,50.49,0.103,0.662,-25.541,6.450052658,3.418,7.31,-109.9,1.05
402,0.42,0.023,84.15,10.94,4.88,0.021,0.179,-24.256,8.723622347,4.871,7.62,20.4,0.59
404,0.38,13.752,50.27,23.84,12.14,0.034,0.221,-23.606,6.512943767,5.275,7.08,143.7,0.7
406,0.63,0.249,3.88,53.78,42.1,0.078,0.56,-23.729,7.1732264,3.819,7.17,-143.8,0.94
408,0.72,0,0.88,40.99,58.13,0.106,0.66,-23.824,6.214507349,2.903,7.31,-172.2,1.07
502,0.47,0.032,77.49,10.51,11.97,0.045,0.377,-24.638,8.303057028,4.616,7.52,-51,0
504,0.49,0.856,65.17,23.19,10.78,0.033,0.231,-23.433,7.101201674,5.029,7.36,-103.2,0.74
506,0.64,0,1.03,52.86,46.11,0.085,0.707,-23.474,8.365141285,3.228,7.04,-209.6,0.94
508,0.76,0,0.32,43.95,55.73,0.111,0.772,-23.537,6.962774435,3.319,7.22,-147.9,1.05
602,0.43,0.542,82.03,13.94,3.48,0.019,0.169,-23.887,9.08357849,3.403,7.59,37.4,0
604,0.41,0.089,58.79,28.91,12.22,0.032,0.222,-23.355,7.045931887,4.641,7.53,-64,0.72
606,0.64,0.119,3.45,55.37,41.07,0.08,0.581,-23.594,7.304217394,3.499,7.1,-237,0.97
608,0.72,0,0.68,43.28,56.05,0.103,0.772,-23.564,7.470799277,3.116,7.23,-123.3,1.07
702,0.41,0.057,90.76,7.36,1.82,0.013,0.098,-24.284,7.763752379,2.77,7.57,-38.6,0.56
704,0.5,0.09,51.69,28.37,19.85,0.038,0.241,-23.735,6.282939453,4.343,7.11,-48,0.75
706,0.6,0,2.71,58.51,38.78,0.084,0.62,-23.563,7.345317121,3.599,7.13,-120.8,0.92
708,0.78,0,0.36,34.95,64.69,0.128,0.881,-23.182,6.89587948,2.615,7.03,-134.2,1.12
802,0.71,0.052,21.68,23.92,54.34,0.075,0.711,-25.709,9.487813992,4.26,7.11,-163.4,0.76
804,0.51,1.939,55.56,15.26,27.24,0.034,0.256,-23.7,7.564021884,4.621,7.36,-54.4,0.77
807,0.72,0,0.73,38.73,60.54,0.1,0.735,-23.468,7.340676333,2.818,7.22,-149.8,
808,0.76,0,0.23,33.58,66.19,0.114,0.814,-23.283,7.142584421,2.85,7.06,-182.4,1.14
