Stations,Ammonia sp.,Ammonia parkinsoniana,Ammonia cf. beccarii,Aubignyna perlucida,Ammonia tepida,Bolivina dilatata,Bolivina seminuda,Bolivina spathulata,Bolivina striatula,Bulimina elongata,Bulimina marginata,Buliminella elegantissima,Eggerelloides advena,Eggerelloides scaber,Elphidium advenum,Elphidium crispum,Elphidium granosum,Elphidium macellum,Fursenkoina acuta,Fursenkoina complanata,Haynesina germanica,Hopkinsina pacifica,Nonionella sp.,Nonionella turgida,Quinqueloculina seminula,Stainforthia fusiformis
P102,6,127,24,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
P104,0,58,27,40,4,1,1,0,1,3,0,0,14,28,0,4,0,0,0,0,3,3,0,1,1,1
P106,0,45,6,27,14,6,10,4,25,13,4,5,4,7,4,0,0,0,4,0,14,13,0,2,0,1
P108,0,81,6,25,7,4,14,1,9,61,7,1,0,1,3,0,2,0,1,0,9,2,2,2,0,0
P202,4,35,3,3,6,0,0,2,0,1,0,0,0,5,1,0,4,1,0,0,0,0,0,2,0,0
P204,4,35,7,20,17,6,8,14,5,4,0,2,4,14,2,0,0,0,4,0,17,10,0,7,0,2
P206,0,29,0,20,12,13,24,19,13,54,9,7,0,4,2,0,0,2,17,5,5,9,5,9,0,4
P208,0,37,0,14,7,12,45,4,16,46,7,9,0,2,0,0,2,0,11,0,5,20,0,4,0,3
P302,0,61,0,0,25,0,1,0,1,0,0,0,2,6,1,0,1,0,0,0,0,2,0,0,0,0
P304,1,47,11,10,5,0,7,2,2,3,0,2,7,19,3,2,1,0,3,0,4,4,0,2,0,1
P306,1,73,16,42,16,3,30,6,15,24,11,7,4,16,2,0,3,0,29,0,9,17,0,1,0,5
P308,0,50,2,12,5,8,23,4,0,64,13,1,0,0,6,0,2,0,1,0,2,0,0,0,0,0
P402,0,90,11,3,35,0,1,0,0,0,0,0,4,5,1,1,0,0,0,0,0,1,0,0,1,0
P404,2,47,30,2,5,0,2,0,0,3,0,0,0,4,1,0,0,0,1,0,0,0,0,2,0,0
P406,0,109,9,19,29,5,17,15,16,21,12,0,0,2,4,0,0,0,0,0,12,0,1,0,0,0
P408,0,17,0,3,0,7,11,5,1,50,20,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0
P502,0,12,3,1,1,0,0,3,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
P504,0,40,19,10,12,0,3,0,1,2,0,0,1,7,2,0,2,0,0,0,0,2,1,0,0,1
P506,0,85,3,30,15,3,22,9,11,22,3,3,0,5,2,0,4,0,3,2,13,3,9,0,0,2
P508,0,24,0,27,2,38,57,21,5,77,16,4,2,4,15,0,5,0,6,5,6,9,17,2,0,2
P602,0,23,2,3,0,0,3,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,3,0
P604,0,32,6,15,9,1,2,2,2,5,0,3,2,9,0,1,2,1,8,0,1,14,1,4,0,6
P606,0,20,2,21,53,8,3,21,7,13,5,5,0,6,1,0,0,0,0,0,17,34,2,9,0,2
P608,0,4,1,17,0,21,38,26,0,65,28,0,2,3,0,0,20,8,0,0,1,0,2,0,0,0
P702,0,11,9,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0
P704,5,46,29,13,3,0,8,2,2,1,2,8,2,2,2,1,0,2,26,0,2,12,0,3,4,3
P706,0,40,2,8,25,1,19,3,10,9,11,3,4,8,0,0,1,0,11,0,9,7,0,4,0,10
P708,0,21,0,13,0,34,94,23,11,85,19,4,0,2,45,0,0,0,1,0,0,0,0,0,0,0
P802,0,40,5,0,5,0,2,1,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0
P804,5,103,9,11,26,0,6,1,2,8,0,6,8,19,7,1,11,2,22,0,4,17,1,0,2,5
P807,0,6,0,6,2,0,0,3,0,8,0,0,0,3,6,0,2,0,0,0,0,0,0,0,0,0
P808,0,1,1,1,0,3,2,1,0,12,2,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0
